Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,Company Name,timestamp
138.70,137.82,0.00 x 900,0.00 x 800,135.48 - 138.00,85.57 - 142.38,"25,590,191","21,275,140",1.703T,1.05,26.23,5.22,"Jan 31, 2024 - Feb 05, 2024",N/A (N/A),N/A,146.10,GOOG,2023-11-20 13:03:25.344
233.59,232.00,0.00 x 1100,0.00 x 1000,226.54 - 237.39,101.81 - 299.29,"142,766,234","121,515,526",744.821B,2.28,75.83,3.09,"Jan 23, 2024 - Jan 29, 2024",N/A (N/A),N/A,225.82,TSLA,2023-11-20 13:03:25.691
334.19,330.26,336.00 x 1300,0.00 x 800,329.35 - 335.50,108.32 - 338.40,"14,519,213","20,283,987",861.006B,1.21,29.60,11.32,"Jan 30, 2024 - Feb 05, 2024",N/A (N/A),N/A,370.46,META,2023-11-20 13:03:25.754
142.83,142.66,0.00 x 800,0.00 x 800,142.55 - 145.22,81.43 - 147.29,"49,678,437","52,489,765",1.5T,1.17,75.61,1.92,"Jan 31, 2024 - Feb 05, 2024",N/A (N/A),N/A,172.83,AMZN,2023-11-20 13:03:25.999
466.95,466.95,466.03 x 1200,0.00 x 1300,462.76 - 467.65,273.41 - 485.00,"2,800,214","5,516,928",203.919B,1.24,46.50,10.02,"Jan 17, 2024 - Jan 22, 2024",N/A (N/A),N/A,462.20,NFLX,2023-11-20 13:03:26.092
189.71,190.25,0.00 x 1400,0.00 x 800,188.57 - 190.38,124.17 - 198.23,"50,941,404","58,699,334",2.95T,1.30,30.94,6.13,"Jan 31, 2024 - Feb 05, 2024",0.96 (0.51%),"Nov 10, 2023",197.80,AAPL,2023-11-20 13:03:26.131
