User_id,Heading,Message,Date,Rating,Data_review
95805329,Le site est fermé,"Le site est fermé, J'y achetais très souvent.Aujourd'hui ma campagne a eu une très bonne alternative à celui-ci :ma-manucure-pro.com, C'est l'actuel meilleur site à mon sens.",14 juil. 2020,Noté 4 sur 5 étoiles, 14 juillet 2020
20745871,ENCORE PLUS,Je suis un peu désappointé et quelque peu decu au regard de la réception de ma seconde commande .En effet je recois un parfum sans le film plastique qui est supposé entourer le produit cela est pour le moins curieux et a cela s ajoute que sur 4 parfums ADIDAS eh bien 3 de ces derniers avaient un emballage déformé voire détruit au meme endroit sur le cote . Ceci ne constitue pas un obstacle a une future commande .,12 juin 2014,Noté 3 sur 5 étoiles, 12 juin 2014
28600081,pas de titre accrocheur; nous sommes suffisamment pollués par la publicité outrancière,"Excepté la livraison d'un parfum français (Chanel)  expédié d'Angleterre (tiens donc?) et retenu à la Poste, laquelle me réclamait un droit de douane, (droit que j'ai refuse de payer) je n'ai eu qu'à me louer de la rapidité de la livraison chez Beauté Choix . il est vrai qu'échaudée je n'ai plus commandé de parfums français . Je dois reconnaître qu'après échange de mails virulents,  la somme m'a été remboursée, ce qui m'a donc encouragée à recommander des produits chez Beauté Choix.  d'où mes 4 étoiles. La 5ème étoile  attendra une nouvelle commande de Chanel ou de Dior pour me déclarer pleinement satisfaite.",13 juil. 2014,Noté 4 sur 5 étoiles, 13 juillet 2014
81723396,Fonctionnement,"Je trouve l'offre des produits assez riche, les prix très intéressants. Cependant, lors de la livraison, il y avait dans le carton deux produits dont les boîtes étaient cabossées, sinon pas d'autres remarques, Beautéchoix c'est bien!",20 juin 2014,Noté 3 sur 5 étoiles, 20 juin 2014
94655029,à consommer ....avec modération....,"de bonnes affaires assurément, pourvu qu'on ne soit pas exigeant sur une marque précise....dommage toutefois que les prix jouent au ""yoyo"" et que les frais de port aient considérablement augmenté....ce qui peut rendre moins attractif l'offre de départ.....",17 juin 2014,Noté 4 sur 5 étoiles, 17 juin 2014
